,content_id,content,subject,sentiment_value,sentiment_word
36,MsCmRYyhIen2GBjZ,特装确实不错，配置很实用,配置,1,实用
37,bhpH5MCV0GorXLud,没cd，没后视镜记忆。之家配置单里写有的,配置,-1,没
38,KOD82cJZ6CvI0e4R,长城配置好！性价比高！,配置,1,好
40,lkRcwBU9zQbdHeoj,特装我觉得就是多了几个不实用的配置，除了电动尾门，其他都没意义,配置,-1,不实用
41,1WpNIYyxzfmnUlrH,摩雷的听爱卓和优特声听人声都非常OK，而且价格不算高。DLS的低频应该是不用担心的，建议后门装，不加低音的前提下！可以加好友聊配置方案！    ,配置,1,OK
42,tlj956MLseiyCTND,这个山寨导航屏幕很背光 换任何导航软件 我都提不起兴趣,配置,-1,背光
43,q8wYIbkWPTmcv7da,原车的卡打开  显示所有文件 拷贝所有文件除了ini文件.   拷贝到16G卡(先格式化，我用的32G) 论坛下载的凯立德 拷贝整个文件以及ini文件到16G卡， 把ini设为只读. 插入导航开机，齐活了， 不复杂吧!,配置,0,
44,GI4jT7Rvn9JECKVP,个人感觉 改导航 没什么用 还不如手机，2.0改那个中控小彩屏真心不错。,配置,1,不错
45,A6NsxYld5Ww9nqZh,还是没有手机导航更新快  而且还有实时路况,配置,-1,没有
46,sz5SD8QwktNdIEJx,不仅16款，斯巴鲁的导航全是到港装的国产山寨导航，分辨率正常啊,配置,-1,山寨
47,9nVacW5jLDCH267x,别卖了兄弟，森林人好开不保值。买的时候尊贵值钱，卖的时候尊贵不值钱，导航也不值钱，较少的公里数和良好的车况基本无视。发票价第一年八折，往后每年一折，四年的车就还剩5-6折····,配置,-1,不值钱
48,gyRioxAM0UEkjDus,XT性价比不高，太贵啦！还是买2.5豪华导航版吧（2.5低配）。    ,配置,-1,贵
49,rf7K8CHOj6dVJmEI,个人意见现车导航比不上手机好用，音响改装就是花无用钱。,配置,-1,比不上
50,8qIz60Ch5WbaVmc1,我16款开导航一会儿屏幕就黑了,配置,-1,黑
51,aA6qlSkoHIrts85y,2015款特装的导航谁升级了？,配置,0,
52,n2pkF0Y6y4VjcBRd,原车CD音质好的很，我把4S送的导航拆了又换回CD机头了。纯粹，简单，实用！这也是斯巴鲁的精神！车么，是用来开的，不是用来玩APP的,配置,1,好
53,hL8JZfmrwHMDzUsE,垃圾导航 都不晓得怎么退出  比如听收音，退到主界面还是收音在响，换成USB就能切换过来，到了USB又不知道怎么退出. 先天不足啊,配置,-1,垃圾
54,QPWzrFTepBUuGlx8,我的导航从没有死机过。,配置,0,
55,hUAmRWNtwXyc2BSE,显示屏幕应该不支持蓝光的，原装的导航太差,配置,-1,差
56,zsueijMfUkJVCEXt,说实话，基本上用不上车上导航，用手机更方便！音响效果不用纠结，毕竟不是想成为移动音乐厅。,配置,0,
57,Abigh0pODZ6UyMVa,买车不到半年，导航经常卡死，现在连蓝牙都连不上,配置,-1,卡死
58,SuU1GmxPA03sRt47,那个貌似是设置载重胎压用的，也就是载几个人或者是拖拖车的胎压用的，原车有带内置胎压计无奈不显示数值也无适配的独立的显示屏，我加了一个外置的固特异的胎压计（之前老车上拆下的），可以显示数值总感觉安心一点。,配置,0,
59,IF2Abxuj1yzmV7Eq,上下推动，切换中控显示屏，设置显示屏的,配置,0,
60,nCH1RTSBGXU0E3a4,需要DIY：把‘输入接口’焊接到汽车音响线路板的音量电位器的中线接点处和接‘地’点即完成。器材：输入接口一只、屏蔽跳线（普通跳线也可以）；工具：电烙铁、焊锡；,配置,0,
61,6ZvDHFNPk9lMSpK2,已经无法重启了，黑屏了一星期    ,配置,-1,黑屏
62,Vb7usnJkHafBIWFG,显示屏的分辨率惨不忍睹    ,配置,-1,惨不忍睹
63,ZF2XPLNYs41Rhozl,2.5有小彩屏中控，这个值,配置,1,值
64,aNJpOgnXy4o5TVhe,长按电源键可关收音机，短摁关屏幕显示。    ,配置,0,
65,QZvRJzxCAUIswBrW,兄弟，我也是13款森林人，想换4.3彩屏的CD，请问所有按键都可以用吗？USB支持什么格式的音乐？无损支持吗？    ,配置,0,
66,QvJn3XNr0FSjzZ5s,这玩意我从来没看过，真鸡肋，有倒车影像这个基本没用,配置,-1,鸡肋
67,OkMGCaSE1xD4rujm,我觉得360全景没必要。在外面改的效果也一般。装两个前雷达就可以了。,配置,0,
68,XgO0ixdBwTn6IsF4,昨天看了傲虎ES的官方视频，发现比一般的雷达ACC牛逼很多。。如果能加就好了！！,配置,0,
70,V6FHl7vEXCOBcUGa,石桥这款轮胎是进口的，我记得途虎网上面有，但是有可能要提前预定的。我觉得森林人这款车有条件可以配二套轮胎，日常使用就用石桥的原配胎，走长途自驾马牌ccc系列不错。,配置,0,
76,znvfsaNSU6pb43hW,中控显示怎么连线的？谢谢,配置,0,连线
77,45uS1g98pkiWRL32,主要难点在于拆中控和方向盘，其它没什么。另外准备几根带针脚的线。游丝用胶布固定一下就好。其它很简单。   ,配置,0,简单
78,rvMT4zSUmHaXEpWn,哈哈，也是好车，不太喜欢它中控   ,配置,1,不太喜欢
160,PFIy1Q7u3kN9qWhV,觉得不舒服可以别买森林人呀，反对非法改装，原厂的座椅都是经过厂家反复测试的，安全都保障，这种外面路边店的货，除了骗钱还能怎样？一旦出了车祸，小命都不保！    ,配置,0,
248,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,配置,-1,坑
306,DfR2ZLPjO4hKyegJ,别以为国产合资的suv就便宜，国内紧凑性suv的总体价格就偏高，大众的新途观L，顶配加长后居然要卖35万的价格，抢钱抢疯掉了。森林人这款车在紧凑型suv这个级别还是有自己优势的方面，空间、通过性、经济性、配置还都不错，只不过价格贵了3-4万，不差钱的也认了，毕竟是进口车，各种税费摆在那里，像便宜也不可能。,配置,1,都不错
331,gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,配置,-1,结实
354,Y2P0Gy3dKRCwjpnx,没见过，不过启停这个功能真的鸡肋,配置,-1,鸡肋
380,851G9AqeDHUcRsul,县道凡过村庄都是40，没限速牌也必须按40走，很多村庄进出口都有摄像头,配置,0,
382,jTRo1OrV6g782MF9,后窗除雾啊，好吧，没细看过说明书，明天试试    ,配置,0,后窗
392,VNzjnC9Q1e2YvOmZ,完全不需要，不然你座椅加热怎么用,配置,0,
403,XwUbcRi1PmpKLI7V,先补补课…傲虎力狮 2t是中国独有 为了取代老款3.6…森xt是全球车！论坛搜美版xt提车作业…除了日版xt 是高功率 其他国家动力都差不多 只是配置变了…es 这玩意其他国家装了N年了…本应是标配的东西…到国内减配!    ,配置,-1,国内减配
410,SqQLFj0dm8gBtNyG,欧蓝德和森林人比，差一大截，森林人水平对置发动机，全时四驱，大空间，还有很多，搜搜视频看看。,配置,0,
432,5mLcCU1yoOFbHg9z,哇，全系侧方影像啊，不错不错,配置,1,不错不错
473,TiNoYncJPAbj06t8,除了可以模拟手挡，其他的都是没用的，所以这次升级后2.0豪华导航版是最好的选择，可是帝都所有的4儿子都说没有此车，真是见鬼了。,配置,0,
551,5UrRyo10O6DpvPzF,假如你不小心把导航打开了，直接拔导航卡就不会有声音了，你可以选择插回去也可以选择不插    ,配置,0,
552,Dmdpfo9NhugQARki,为什么我退不出，今天下午一不小心启动导航怎么都关不掉，我火了直接把导航卡拔了    ,配置,0,
553,5lGUVgWZ9RSMz2Ti,你这导航……好尴尬啊，  凑合用吧，当然换好的给我个链接我也换      ,配置,0,
557,RvDrZkjiEp42e9FO,山寨、导航难用是公认的，但导航是可以退出的。导航还是用手机吧,配置,0,
560,bKRvQHzn15kFpLJh,这小小的国产导航都能让你喷成这样。我可以不可以理解为，用那么多国产的破件攒起来一台欧蓝德，那要多廉价呀？    ,配置,0,
568,w7jc92gaOhkQUKlW,据车友反映这个庞大后加的导航质量杠杠的…不是一般的差 早点换了吧    ,配置,0,
569,eS15WVNrt7cDTkYI,给我装了个杂牌导航一体机，音质烂的要死，后来追尾收音机废了，索性换回了原装的CD机，一个天上一个地下,配置,0,
570,qp5ycuU3iWDdvZGn,音响搞一下，什么杂音都是浮云,配置,0,
573,buiBY2o0TM9qQzAn,中低配没有中控导航大屏？？很不错哟！！！安逸   ,配置,0,
651,EWQyYl8MwScsx17K,我一看倒车影像倒车就挺歪，看倒车镜就正的，所以我只用那个看后面有没有人！,配置,0,
