content_id,content,subject,sentiment_value,sentiment_word
bhH51z0okFDUvlX4,是说，我比较在意外观的    ,外观,0,在意
nXcjkR4mLy97V6zW,楼主，我其实当初和你一样纠结傲虎和森林人，当初我先选的傲虎，后来发现傲虎内饰还是优于森林人，最起码有个电子手刹啊，不过傲虎个人感觉外观比小森差点，车顶行李架傲虎太难看了。另外傲虎价格略高于森林人，我最后买的是尊贵森林人，傲虎这个价位估计只能买中低配吧，看你银子多少。,外观,-1,差点
8n5orE7FSVIJZckG,我擦，展车都是寒冰银！我们这这个颜色要等半月，而且只有高配车型才有！,外观,0,
g5BeCL9cy1jmf3PE,白色，4S店库房只有白、黑、红三个颜色，主要是白色，其实我喜欢耀目寒冰银色。    ,外观,0,
kd3IeujPNTqviW6A,森林人的白本来就是有点黄，和奥迪那个白不一样的颜色,外观,0,
gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,外观,-1,硬
w8051LxVzY6tUaCu,是的，银色最耐脏，无奈前一辆是银色，黑色稍显成稳。    ,外观,0,
KxRLJj51F4r6I8Tf,车漆是变色龙吗？一会黑一会紫，有个性,外观,-1,变色
zNFsBQAO1vId7pKG,雷车2013年后改款了，那个前脸改的太好看，再看这个10款觉得挺丑。要不我就小森再开一两年，那时换个13款以后的雷车 ？    ,外观,-1,丑
tCEN34egDmI0YvPc,车衣，镀晶的本身都要先抛光一次，对车漆有伤害的。打硬蜡光泽度，硬度都还行，性价比也好很多的。   ,外观,1,性价比
pl9hDRFZ3srzdS70,13款森飘过，2.0、 6万公里，完全无故障。除车漆薄，车身宽度略窄外，完美。   ,外观,-1,薄
76DOmTYsob3uI0En,白色说实话没蓝色的好看 不过车好 就不挑色了    ,外观,1,好看
mBzTM8ceE51janoL,应该不是拉力蓝，另外一种蓝，我也不是很懂，就是觉得白色不好看，黑色太严肃，实在是没有别的可选择了    ,外观,0,
mDMyt4hHUPCF0KzL,弄哈，挺好看的这个灯，装了逼格高    ,外观,1,逼格高
spau9VDAYCBMT214,方向盘换挡 獠牙外观 好像还有点别的   ,外观,0,
Rhao37yIN02EgtSq,银色的感觉比白色好看。,外观,0,
1RtOMPviF0d6K7fc,12前脸好看，16侧身好看，尾部区别不大。,外观,1,好看
Uvnebkt4Ypix7GuK,个人感觉 全黑中网 后视镜 鲨鱼鳍天线 真心不好看。  除非你选黑色。,外观,0,
G5JgxzK1rqLROswT,几代森林人里，论外观12款的最好，现款空间变大、风阻改善，但不好看。,外观,-1,不好看
PTV6hHl8XE3MU4Gq,明年10月份吧 探界者那rs版挺好看,外观,1,好看
eF51QLyui3lwadxv,纯粹是因为外观我觉得不好看。。。可能是看习惯了原车的山寨。。。   ,外观,-1,不好看
jHy6hACgGITRUYVZ,实用的话一定选森林人，XV其实个人觉得真要我选比较尴尬，没动力，价格跟森林人差不上很多。就是外观时尚一些，也就是升高版的翼豹，当然国内没有翼豹卖了。,外观,0,
VvNXS47Zz9bqG2EB,你们别说我，我怎么觉得挺好看……,外观,1,好看
WDhcBPNdoQS713x8,在我国 外观大气内饰豪华后排能跷二郎腿才是好车,外观,0,
zepWj9IQkObtm86c,空间倒无所谓大多数都是我一个人，我对空间没什么要求。没有全景天窗很可惜，xv有种不上不下的感觉。外观我觉得很一般。屁股很不喜欢，可能是因为短……    ,外观,-1,屁股很不喜欢
itXW0wAa75pvyJVY,我也在纠结是不是要提18款顶配。很是喜欢运动版的前脸和es……就是真的太贵了。原想27万不算牌照上路的。选顶配得多个五六万……,外观,1,喜欢
aA4NLy8uUovHhMgw,特别迷恋啊，过来支持斯巴鲁外观轮廓。,外观,1,特别迷恋
gNzdCVB4bMTFf0iP,银色尊贵，带黑耳朵黑格栅，和这个茉莉绿比，哪个好看？只考虑这俩颜色，准备订车了,外观,0,
RKfHy1B2qUhLTgtv,最近广州车展准备下手2.5尊贵，内饰黑色，外观银色或者蓝色，现在看到这个绿色又多了到难题。,外观,0,
Jbwlio7hLNPYaUTB,这款是最漂亮的特别是前脸越改越丑,外观,0,
UBJ65cihLCjAkqb7,我搞错了，科雷傲是和奇骏同一个平台科雷傲是适时四驱，除了外观不一样，里面的性能差不多   ,外观,0,
QNaZleBw5H42Op0X,那个后面空间小，而且不好看，屁股太短   ,外观,-1,不好看
0J1IkR8cGue4MBmQ,一直都很好看 就是性价比不高 贵了,外观,1,好看
