,content_id,content,subject,sentiment_value,sentiment_word
144,HNxJZ0OLEd84rlwv,其实是一部很普通的车，唯一亮点不是合资车，钣金的厚度和强度，内饰的落后，棒棒糖，后出风口之类的配置，吹什么经典，此时来看早已赶不上时代的变化，垄断不降价，售后保养达到和超过BBA的费用，让用户望而生畏。,内饰,-1,普通
145,BDnNpjZfhkA09V2I,除了内饰差点，贵点，其他还好,内饰,0,还好
146,lAGJVQu3NUP5FY9M,看我的帖子，拿手一掰就拆开了，很好拆，特么森林人内饰太松垮了,内饰,-1,松垮
147,SKx9oLEehCB35P8V,没有大事故，就是内饰有些旧！需要回来重新搞！谢谢！    ,内饰,-1,旧
148,pC6e3mQ9VYKanbSE,斯巴鲁确实是好车，就是内饰上面做工差了些   ,内饰,-1,差
149,YBQfz0GRclmnFXuq,这车的内饰不改改怎么可能卖得好,内饰,-1,不改改
151,6GXPYLv0ibIlStm1,发现傲虎后排座椅的包裹性设计，比森林人好那么一点点,内饰,-1,一点点
152,dTXcunlKzZbi0I14,建议去4S弄吧，这个是一整块的，从座椅靠背旁边容易裂开的那里一直到后面，自己弄弄不好异响更多。,内饰,0,
153,98EpFfna2PSyeigo,没有必要，只想要原装电动座椅    ,内饰,0,
154,1p4rdLHQNRX6s2gk,请问后排座椅靠背的角度可调吗   ,内饰,0,
155,h0CfHRSu6QPn7rZx,后加的腰部支撑支持座椅记忆吗？    ,内饰,0,
156,I4qsHPkuogCjyD5A,就是这里，做工不细致。农用车本色。这个地方高速起来就是一个噪音腔，把缝隙贴上马上就没那个声音了    ,内饰,-1,不细致
170,imbX25NKYqQn9Cjy,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,内饰,-1,挫
388,HAQ19BEzWweDhbNn,不建议方向盘，座椅还是要装一个的。,内饰,0,
391,rTLVeidoIEujXmNa,座椅买了套皮的，用了俩月 拆下来扔库房了，座椅已经是皮的了，戴套不舒服,内饰,0,
431,Fy9OLtWxUTQH1JVY,记得新车比2.0豪华便宜2万，少了5个气囊，X-mode，隐私玻璃，天窗，皮座椅。还是选个豪华以上的吧，二手车差价肯定少多了。,内饰,0,
458,8aue0BOtRnIiA4p6,傲虎快1年了味也不小，就是座椅人造革的味！,内饰,0,
468,U6jm1DLKgJCiGQew,两款不同的车，森林人是偏运动风格的SUV，操控极佳，内饰、隔音都不咋地，傲虎应该算是休旅车，是轿车和SUV之间的跨界车，舒适性更强，有可能就都试驾一下，看自己的喜好   ,内饰,0,
520,M2wWsVSBYR1GH4IX,过来人告诉你 新款cx5 操控不比森差，但是隔音 内饰上好与森,内饰,0,
524,b5L90FVcUz7rElw6,crv内饰不错混动给力，森林人操控不错还省油，所以我选择奇骏～,内饰,1,不错
