content_id,content,subject,sentiment_value,sentiment_word
FsAOim03dS2rBV9G,轮胎型号太多，挑选真是个折磨人的事。,操控,0,
k8oZIm9PRGrtsSv2,抗磨性能呢？我现在的胎磨损的那个还没到，主要是老化的厉害，寻思以后轮胎好好养护的，在轮胎不老化的前提下，尽量抗磨点   ,操控,0,
kPLH5G6jy2Rin1ZE,轮胎调平衡纯属扯蛋。轮胎如有动平衡问题，不换位也要调平衡。如果不存在，怎么换位都无所谓，除非有啃胎现象。,操控,0,平衡
hj6R3giB1q9T0t8Y,有的时候公里数多了平衡块会跑掉的，不过一万做动平衡确实早了。我4万换位做的动平衡有一个轮胎少了。   ,操控,0,平衡
BaJFsDNoudehQn5M,没开过欧蓝德，小森操控一流，中控啥太LOW。价格有点虚高。其他都不错吧,操控,1,一流
Bdftvy8lXzF4TkbC,如果提速是楼主最关心的问题 建议还是2.0t AT吧 2.5 CVT组合还是舒适操控为主,操控,0,
u5DertECskUI9ZT4,要我选森，我追求操控，看你了,操控,1,追求
EAdbZq0pfMwK6SJc,良好的操控带来良好的驾驶乐趣，单单从机械驾驶操控性能来看，还是名副其实的。    ,操控,1,良好
8wHMRKsNLT9E1VWd,德系等欧系车的底盘调校还是相当扎实的，操控都不错。斯巴鲁车是拉力赛好手，底盘调校的功底不弱，操控好是出了名的。在日系中，斯巴鲁的操控应该是第一的吧？,操控,1,第一
ziqTa4OIGmtCrW5y,XT买的是情怀了，这个价钱可以买到打8折的Q5了。不要我是真的爱XT。它的操控，它的动力，高速公路上220一点压力都没有    ,操控,0,
Yxo2wXkhlq0r1PKH,这个轮毂还行，重量也轻不少，操控更灵活了。就是圈跟幅交界的地方容易藏灰，清洗起来有点费劲。,操控,1,灵活
x2DXClJz8iPS3qOU,见议要豪华就别考虑买森了。要操控性、安全性、通过性以及偶尔狂野一下，30W区间的进口四驱SUV还有谁     ,操控,0,
gYtOp2TmJAdIB354,蝎子胎应该是主打运动操控吧，一个舒适，一个运动，看你自己的需求了，我也是小白，刚好前段时间换轮胎研究了一下    ,操控,0,
FsOyKTvuJ1QM0lSx,开惯森林人的操控性，为啥会选奥迪。。。操控性不是该选宝马M4之类的嘛？豪华大气上奔驰E啊。。有点不懂   ,操控,0,
PD3pTkBLX9Cc1ImF,斯巴鲁操控的车，轮胎弄这么厚，影响操控！有一个225 60 17 米胖子的，为新gl8配的，我用的还不错，你要不？转给你？我换完还是喜欢235 45 17的p7,操控,0,
JGLpO2DbKewlcsQF,森林人真的没什么优点，内饰垃圾，动力不行，操控也就那样，质量差，小毛病多。关键后期还不便宜。我的2.5l尊贵已经非常后悔了，真的不值这个价    ,操控,-1,垃圾
sVHFgE2m3ardKkMN,你换的什么轮胎啊？影响操控性能吗。。听说米其林的轮胎安逸，我这个跑了2000的轮胎出手不知道卖的出去不，原厂的   ,操控,0,
eCl6M8NqXZu92hpT,哈哈，上一代的cx-5的装配工艺接受不了，后排座椅家人也接受不了，原来一直看中cx-5的操控，但和森林人综合一比，定了森林人,操控,1,很好
49rtaenySHxZhMwV,我家一辆 cx5 ， 一辆刚买的森林人，在舒适性上差不多，操控也差不多，主要看你想干嘛了，cx5不是全时四驱我掉雪坑里是推出来的。。。你要是钱够就上2.5的cx5，我觉得2.0的森林人是够用，但是今天超车人家奥迪q5没惯着我，看我要提速，一脚就抢我前面去了！,操控,0,
JW1zSrG9XR7o2wUc,今天试驾，员工也是65的速度过小弯，是不是斯巴鲁的老总都是这么要求的，让人体验这种操控，呵呵，但是这时候车子响胎了，我问他，他说适时四驱的车连响胎的机会都没有就推头了。不管怎么说这种极限操控体现了全时四驱的意义所在    ,操控,0,
Cb3vYt60eSp58G2A,看了视屏，这开斯巴鲁的开车太危险了，操控性斯巴鲁完胜。   ,操控,1,完胜
