,content_id,content,subject,sentiment_value,sentiment_word
73,IeXnv29Rf3Bm6WKS,换4条静音轮胎才是正道,舒适性,0,静音
135,hiRBxzXvFfKI2y85,用过两款减震机了，CUSCO、RSR，目前觉得还是原厂最舒适。,舒适性,0,原厂
136,vRAztNshlaSWYOxd,这车就这样，蹦蹦嗒嗒的。估计lz以前开的车舒适性不错才有这样感觉。,舒适性,0,
137,eLmSiqv06pfNr2V4,看你的需求，米胖子应该比较适合你，安静舒适,舒适性,0,
138,cQVS2zpOjEqKmiGI,咱俩只差一个月我刚跑了15000 去这些地方开着感觉咋样？顺便问你一下你的空调出风口有没有坏？或者听说别人是否有坏的,舒适性,0,空调
139,g8Uw2noap6TfVKhP,有时候如果熄火前没有关空调制冷压缩机，启动的时候压缩机会自动启动，发出类似阀门开起的那种声音，不晓得是不是你听到的那种,舒适性,0,空调
140,hpyl7WjQKofXq8dg,不开空调默认是开打外循环的，要打开内循环可以不用开空调，直接按空调控制上的内循环开关就可以了，这时空调显示屏上没有温度等信息，只有一个回绕的小箭头汽车图标。,舒适性,0,空调
141,g4OUT0dnBGVJ9qX6,冷空调开起来都是后面先凉。    ,舒适性,0,空调
142,z1KFt2yo0jD4lfOc,空调开一档 二档 声音比出风声都大    ,舒适性,-1,大
176,kgMeaAGu421DQOt9,1、噪音，可以考虑做个全车隔音，效果很不错。2、刹车软，我也觉得，所以我换了好点的刹车皮，效果杠杠的，至于品牌，很多不错的，我选了dixcel。3、至于行车下锁，自动升窗，一健升窗等功能，在x宝上面大把这种控件，并且是无损安装，还有多合一的，找个信誉销量好的店家，最好是本地的，直接去它店面安装。,舒适性,0,
249,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,舒适性,-1,坑
251,z4gGv2liFMsQ3qYA,我个人对声音不太敏感，所以没觉得高速噪音大到无法忍受的程度，至于烧机油，我新车不太清楚，希望不烧吧    ,舒适性,0,
257,mSPlZvADzQVos9BO,高速噪音大吗，烧机油吗？,舒适性,0,
329,gDyCLeTpMFGXdvxu,异响能解决吗？车漆能硬点吗？前档玻璃能结实点吗？,舒适性,-1,异响
338,vzPSHIlUJgyhMsFb,这东西装上了高速噪音会很大吧,舒适性,0,噪音
340,5bK1tDapXe9wjEHT,这个是高速空气扰流，减少噪音的,舒适性,0,噪音
345,vq8GprJFxYoSyKed,高速行驶车内噪音大吗？,舒适性,0,噪音
349,xOFfHey54JY0hIQ3,米其林说是特别不抗磨，但静音效果非常好   ,舒适性,1,静音
350,jfgr05U1KDTkLVZx,感觉还可以的，静音好像比原来的普利司通好些。    ,舒适性,1,静音
351,KhIXrJeMF9A3758q,用了快三年五万公里，没啥问题。就是噪音大。,舒适性,-1,噪音大
363,w0hAsE95pjTbO4mq,米其林哪一款忘记了，主打静音    ,舒适性,1,静音
365,FiWN98UVeBg1Cf5G,我也换的米其林，没折腾，还是原来尺寸225的，胎噪小了。,舒适性,1,小
369,hU5sGBfCeH9ZniJP,2.5好，高速噪音很大！！,舒适性,1,好
373,N6I8D70KQFYh9MGe,我还是更喜欢17寸的，我觉得18的太颠了，过减速带不舒服,舒适性,-1,颠
377,HBJldUyCqPzT4Xp8,在论坛里搜了下腰托，好多反应不舒服的，看来不是我一个人这种感觉    ,舒适性,0,不舒服
404,Q8TJy0jhuO79GDvW,车跑的时候 你能听到 后备箱传来的风噪？    ,舒适性,0,
407,5HI8lovjtBsrybcu,咕噜噜的声我的飞度也有，过沟坑震得厉害才会有，响个两秒就没了，算是正常吧，为什么这样响就不知道了，现在的森暂时没试过过大坑。,舒适性,0,
408,M0WG9JqZYLnSN2Ky,那说明你的异响根本就不是哪里，只不过拆车重装的过程中动了某些地方导致异响暂时消失而已别在让人拆顶棚焊接了，这个办法太坑人了，要解决只能老老实实的找，找不到绝对不要轻易补焊！这才是正道！    ,舒适性,0,
412,jfHPrJp7RNlsUu93,我当时提车的时候临牌，保险什么都上好了，结果空调有问题打不开，后来说里面有个什么线没插，车子完全没问题，但我死活不要，后来还是重新给我换了一台,舒适性,-1,有问题打不开
413,KzWVr5TSpL6seIv0,冷车发动的时间发动机噪音大一点，车一热就好了，还有你换的机油有关系，一定要用0W20的SN级别的机油。如果热车发动机有抖动，可能与你加的乙醇汽油有关系。,舒适性,-1,噪音
427,MR1dzJ5TrIYl0ZGB,唉，这个破车，BYD就是开烂了，也没听说有开焊的，成笑话了，我的也响！ 弄个破胶布，垫一下电线，折腾的我来回开了接近200公里，焊缝开焊，上路乱响，4S连个屁都不放,舒适性,-1,乱响
434,oidBOejfGRY5KPxb,森林人宽敞些，因为高度比傲虎高，但舒适度不如傲虎,舒适性,0,
