content_id,content,subject,sentiment_value,sentiment_word
tKU0QLuF34pyxn8V,人家奥迪、JEEP都曾经用过CVT，都换掉了，追求走量、节油的才选，早晚号称全是四驱的森林人要把靠摩擦而不是啮合的减速箱抛弃   ,油耗,0,
9xSUq3Ovc4eGTZVy,追求省油的驾驶习惯，一定会加重积炭的产生，从而导致爆震，建议定期使用积炭添加剂！,油耗,0,
lQNsJe87jMUC2AvV,我看LZ是11.6油耗，还行啊。跑几次高速就下来了。放心吧,油耗,1,还行
I5VAaUHWlS60mvQL,不会2.0比2.5还费油吧？！我的2.5平均油耗9.6，开了3000多公里，基本是市里跑，北京那么堵车这油耗就很满意了。,油耗,1,满意
QhW8lfB4FPYgw7kZ,10年的车 2.5排量的  目前86000KM    市区  10--12个    高速8-9个  油   出保后  一直外面保养 价格 300--500  间,油耗,0,
nTGAzi61eUoBlgFb,上下班为主，平均油耗10个点多一点，保养时5000公里保养一次，价格还行,油耗,0,
3A26BUlaZJeFKNyj,我的16款，跑了5000公里不到，油耗7.8 。满箱油全跑高速800公里没问题，我刚换了后视镜，配件一个礼拜就到了。唯一不满意的就是高速风噪有点大，别的没毛病。宝鸡车主留。,油耗,0,
e6j37BTDEhsOu1Qr,综合油耗9，除第一次除都是自己买耗材在修理厂换，小保养400元左右。,油耗,0,
ho0UXsP8FB5jeDcq,如果是市区拥堵的话这个油不高  我最高时候13.4冬天   我现在34000了  油耗基本上在10个左右  不用纠结了  每辆车的用车情况都是不一样的,油耗,0,
St0ly3u25ohRkBLe,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,油耗,1,省油
2Y3MF0av8mbLd5JW,我是2.0 16款，目前5000公里，油耗9个！ 哎哎 后悔没上2.5！   ,油耗,0,
g76B9i2PSeKq5uy3,主要是车轻，森林人行驶证上的车重只有1.4t多一点，加上cvt传动，肯定比同级别省油。,油耗,1,省油
EHjWKRp7ZwIJToyO,4AT的一点也不省油！我2011款2.5XS纯市区百公里油耗要13.6L，高速上110KM/H的速度匀速跑的百公里油耗也要8.5L。   ,油耗,-1,不省油
GQ7LvDwEXhn9zafb,我的2014自豪2.0行驶13000公里平均油耗10.6，多数是在市区行驶。为啥其它车主说7至8个，有一个经济时速问题，通常讲再高的驾驶技术和习惯，市区或者市郊行驶，最低也得10个左右，这样才实事求是。   ,油耗,0,
9k7LOMQxrosJqb3z,同款，8200公里，平均时速38，油表显示8.8升/100千米,油耗,0,
bjTDnVRMBQtCrUp0,收费一瓶198一瓶148。 不过市区跑真心积碳严重，排气管黑黑的。 油耗13.8。    ,油耗,0,
FIsT4EtO7pivSHPA,怪不得我的油耗13.6。。。95油，9毛6一公里，全市区。,油耗,0,
NCaIXYrAkb8xQPl2,我的油耗10升左右，加98号的,油耗,0,
SZAHDya1x47fjgor,我这里也是93改92，97改95，不过油耗没这么明显的变化，反正是感觉不出。,油耗,0,
jzHL9n375gpNdE1Y,我油耗13以内就很满意了,油耗,1,满意
EmRcpASKbULBues3,娘胎带的唯一缺点就是油耗比现款略高。    ,油耗,-1,略高
g3yTW8RlDSUP6vCQ,你算少了的了，16款2.0，油耗13.6，全市区，跑了2003公里,油耗,0,
aOlyCibLouVx4RvU,油性液体在收到重力会出现什么情况呢？   ,油耗,0,
lVwiDndz37WA4BfQ,我经常跑济南，我都走青兰高速，车少还是三车道，青岛到诸城限速120，诸城到济南限速100，好跑，省油。,油耗,1,省油
XoexjlK2gSwHO48r,11款，10.6万了，市内平均 11个油左右，高速 9.5左右，4AT的基本就这样了。,油耗,0,
WP7ISrXOepEdqsZ1,个人感觉开高速不一定省油，即使不堵车，也得看去哪，过年时，由北京向山西陕西方向一路上坡，油耗也得9-10个，返回一路下坡可以7-8个甚至更低，2.5的,油耗,0,
YIHtycdSqAUD05uB,上下坡肯定会有影响的，但总体来说油耗挺满意的    ,油耗,1,满意
0V9oN2whKtF4O5qJ,2.0 平均油耗10个 不到四千公里,油耗,0,
9idZlGnrqwH42KuC,楼主开车真省油！我的2.5尊，去年6月20日提车，目前2.1万公里，综合油耗7.5，已经很知足。,油耗,1,知足
hPoOdaTDlSnLBfWI,我2.5车子，济南到青岛高速全路段限速80公里，我定速巡航，显示油耗5.8！！,油耗,0,
4lpMbJuHCmeIXPVk,当然是很高的水平了！我大部分高速，现在2.2W油耗还得7.0多呢！,油耗,-1,还得
djk0mphFKY6f59JV,xt，8.6 我感觉显示的不准，实际油耗会更高,油耗,0,
fjKyqd0npSGmZPeU,我是16款2.5的，东北冬天温度低，原加92乙醇汽油感觉肉，后改加95纯汽油，感觉有力了。原来平均耗油8.2升，进入冬天，现在综合耗油8.5升。,油耗,0,
MJyinzIlZDWLT14R,我今天油耗跑成9.8了，你又降了吗？   ,油耗,0,
OIWJYXeHaumo347E,开了三百多公里，大概13.5油。说起B格，我开森林人的时候，总是觉得比CRV，途观高那么一点，呵呵    ,油耗,0,
1mCU6W4bpnHdqeIG,13款2.5，，11个油飘过，8个油也就安安静静跑长途时候，现在高速基本9.6个油。。大油门13个油基本～～ 这车大油门，油耗挺大，温柔开油耗确实不高～～,油耗,1,不高
FjXpx7Emi5Q4WUoA,提车3天，开了400多公里。油耗惊人的低啊。。。,油耗,1,低
IHC1TMq2JQjYEOex,初看以为是中国有柴油版手动森林人呢。吓我一跳，原来是外国，油耗确实很低，怎么做到的？路况很好吗？还是基本都是长途？我的纯市区和两公里内短途。油耗9点4。,油耗,0,
WZYXyAc03nGjCTIU,我的09款手动，最低油耗在6升油。国道60时速最省油，你的5点2，难道说柴油比汽油省油的缘故，好羡慕你能生活在荷兰这样的发达国家。很有优越感吧？是留学还是定居？    ,油耗,0,
bCfnu0MYJyshZDGI,楼主，我的09款手动，最低油耗在6升油。国道60时速最省油，你的5点2，难道说柴油比汽油省油的缘故，好羡慕你能生活在荷兰这样的发达国家。很有优越感吧？是留学还是定居？    ,油耗,0,
3FpZILeG6cQBfjtT,2.5豪    原加93   现加95 没感觉有啥特别的差别 就是油耗高了。仅供参考。,油耗,0,没感觉
NQg1SB057xYsmpXv,一样的，高速上120 140 160满载的情况油耗上9个很正常，我的跑了3000多高速好不容易才降到8.6，以前一直在8.2---8.4之间。,油耗,0,
vdPqwZmS0JQ3xhFB,我6挡手动，感觉80最省油    ,油耗,0,
vGoJPk4rwCBm2SAQ,市区平均20多点，油耗11.5,油耗,0,
Q0sNvIqyX3947hx8,2.0老森高速最省油的时速100-110，7.6左右，120就要8.3,油耗,0,
zj3KESwUepGMoiIk,手动6档80迈。省油罡刚的。,油耗,0,
GWFzZ7NtbpMTSc1l,是80，其实60的油耗和80差不多，只不过80是又快又省的最高速度了。,油耗,0,差不多
L8G5euqvwiYQSgVy,我是山东人，现在油耗降到9.6了，以前加的都是98号，现在开始加95号汽油了。98号汽油更换成95号，没发现明显差别。,油耗,0,
