,content_id,content,subject,sentiment_value,sentiment_word
89,St0ly3u25ohRkBLe,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,动力,1,充足
91,HIWjuAReXt83rTCf,我的小森虽然是2.0的，感觉油门很灵敏，起步时稍微点一下油门就窜出去了,动力,1,灵敏
92,Y24aOoGZRbJ80E73,cvt反应慢半拍造成的，不是油门原因起步踩油，cvt改变传动比，延迟四驱起步会优先把动力传给后轮，经过传动轴，又一个延迟。给人的反应是踩油不走，条件反射没踩够，再踩等车动了油门给多了。所有你就会感觉窜了。没办法物理瓶颈，4s改不了吧。你可以试试踩油不动。等车动了，再踩。悠着点开,动力,-1,反应慢
106,WrBJT9eSgPUucE1f,比如挂d挡不加油走，走了一小节就会熄火，或挂d挡要起步，加一下油马上把油门丢了会熄火。    ,动力,-1,熄火
130,3dQcPltkrXj4YvVW,过段时间会黄一些 珍珠白油漆很难做 业界难题 除非整车,动力,-1,肉
143,K0IJkXLnoN2lqu8F,2.5雨天开空调都感觉动力不佳，油门后段不行。,动力,-1,不佳
150,WZKCyh3kaOXA6qnV,内饰照片上传一下，6速手动，开起来真舒服啊。,动力,1,舒服
178,RIY2DbnfwQWm7Sgd,我就是拉开车距经常被人插队啊，这车油门有点串，刹车有点肉，车多时适合被插     ,动力,0,
189,3ZUbWTApnl5MLGgO,没用s啊，1500是没怎么发力，但比起并排等红灯的其他车，1500已经感觉一下就抽出去了，估计其他车都是松开刹车等怠速上来了再轻轻踩油门     ,动力,0,
217,mOr5aSICX29c04qj,说得对！！我要换中缸，已经在走程序了！！换上之后，如果发现还烧机油我就继续换，直到我这车跑烂为止，反正换过之后他们还得重新计算保修期！！   ,动力,-1,烧机油
218,jsvOilGJCR0K92uw,你这么精准的数据是从哪来的？13款以前的20%？13款以后8%？你怎么这么厉害！！车主们公认的是市区内开车不烧机油，时速低于100发动机低转带的时候不烧机油，时速达到120公里或者载重爬坡的时候烧机油严重，令人难以接受，说明森林人的发动机设计的有问题！！到你这儿怎么就不一样了呢？   ,动力,0,
219,UcIOCWa6zM3uKdpj,没准给我的报价算上保养换机油和机滤的钱了    ,动力,0,
220,buEnsOV8cjHXM9eU,我的也是烧机油，一起去国家质监总局缺陷产品网上面去反映啊,动力,-1,烧机油
221,2FWKEjzTuk5Jv7nl,2.0.  14年豪华，没有烧机油,动力,1,没有烧机油
222,CquUB8ZywzWe2jDx,肯定还烧，但愿到两年后烧机油的车友多了触发召回，那就爽了……    ,动力,0,
223,KGh28TPxnEdCc5y1,不知道现款的POLO如何，我原来的老车就是POLO 07款，目前还在用，主要是限号时换着用下。 同样也是换过减震后备箱液压撑杆，每年一次正常保养换机油即可 POLO 1.4 唯一问题就是动力弱了点，低速噪音大。 其他没什么问题。,动力,0,
224,CTp1rBDsXxthPy97,我之前都是一万一换，每次节气门都脏的一塌糊涂，机油也乌黑发亮。 现在感觉国内的空气和油品，最好6000~7000一保养比较保险。有问题也能及时发现。,动力,0,
225,WVeUdxirZmvSEbGy,我们城市还没有一辆烧机油的森林人，算不算运气好     ,动力,0,运气好
226,zGdSonYPEBQ3p6D0,11-12烧机油更严重……1500高速一升市区也烧机油    ,动力,-1,烧机油
227,nqhdZVDGmpQOazYy,2T不烧机油，一万问题不大    ,动力,1,不烧机油
228,Ng5q2nbGK8fHWyAl,准备2.5豪华 纠结3点。。。第一就是这个山寨导航 还有cvt。。。烧机油。。。,动力,-1,烧机油
229,9tPwokbRgflTUL53,我的好像也中招了，每5000公里保养，这次少了2升 ，量了黄灯，0w20机油，14年7月买的2.5豪华导航版，不到4万公里，郁闷了,动力,-1,郁闷
230,1TEDshcBq8y2pwbL,1.加92或95都可，没啥区别。 2.拉开点车距，慢慢适应就好。 3.三包期就在4S店，白桶机油就可，出保再自由选择。,动力,0,
231,cBwmyXSZ6A3Er5Cz,2.5发动机坛子里烧机油的太多了，有点怕中招    ,动力,0,
232,upLn9YarBK3qEmDo,2.5比2.0更容易烧机油吗,动力,0,
233,NlQcbqxeEG5zp09B,我真没觉得小森烧机油，起码我的没有或者没那么明显    ,动力,0,没那么明显
234,VsSmkFZxyz3E2L8R,没必要纠结斯巴鲁烧不烧机油的，斯巴鲁有太多与众不同的特性可以去体会。我现在7500公里也就消耗0.3升机油左右，比大众好太多了，我朋友大众的走600公里高速就要加0.8升了。   ,动力,0,纠结
235,u7H6waWEIJT2GOVS,2.5我怕烧机油，打算2.0时尚了     ,动力,0,
236,AeCLs2QfB5nmrG93,我这里4S开的机油机滤5.5L，我说开4.8L，人家给我说肯定不够，给开的5L，结果5L都没加完，还是超上线了，郁闷！还开了倒轮胎，一看收费，算了，自己搞，不要钱！还开了清洗发动机，不做影响质保，我没做。要是1W公里就要清洗发动机，那机油得烂到什么程度啊！,动力,0,
237,NBhb1GrJ37yi4Kal,但愿我的16款不烧机油，我以后保证5000一保养,动力,0,
238,oZd8CEzumUBxDF93,您的排量多大，机油消耗如何。    ,动力,0,
239,nIC02WsfXqi7Yvec,2.0T就没听说谁烧机油   ,动力,0,
240,rh4M8zQ7TZBcUYK9,原因并不是变速器是否4AT，而是发动机，FB系统发动机有一部分与4AT匹配的，同样会烧机油，而老款老动机就不烧，请不要以发动机来判断，而是要关注发动机型号。   ,动力,0,
241,dioNQZrFH3atJPAO,换了FB25发动机的才会出现烧机油现象，之前老款发动机匹配4AT不烧机油的。   ,动力,0,
242,4dYHsxojPmNSipA7,我们奥迪10000换次机油，一次换5升，一升消耗掉就是你们的说的烧机油,动力,0,
243,k2X8uax9VFmIU3GA,等第5代烧机油。漏油神车出来。,动力,0,
244,8upxcNmoCJIwWRkr,会多烧机油的，这车不适合高速,动力,-1,烧机油
245,QB9U2nxAZK3Osuk1,在下次保养里程到达前机油报警，肯定叫烧机油了吧    ,动力,0,
246,gRbvxH1VihsjBZ5c,车友好像说是4.8升，修车的说看机油尺加的，还有0.5升机油留着呢    ,动力,0,
247,JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,动力,-1,坑
250,LCu8tjYaUrPvQVMk,我感觉你的车烧机油还要严重些    ,动力,0,
252,z4gGv2liFMsQ3qYA,我个人对声音不太敏感，所以没觉得高速噪音大到无法忍受的程度，至于烧机油，我新车不太清楚，希望不烧吧    ,动力,0,
253,Lq5498Ok7MejRH6K,我的就是120跟喝机油一样。以后开慢点。    ,动力,0,
254,5ya9LlZrMuFUOqY2,森林人 烧机油 事实存在！,动力,-1,烧机油
255,DyoC3jlZTIONesfP,我是72000开始发觉烧机油    ,动力,-1,烧机油
256,mSPlZvADzQVos9BO,高速噪音大吗，烧机油吗？,动力,0,
258,Fo0C4V1Sa59KeXTf,新款森林人没有发现烧机油   ,动力,1,没有
259,aK12pCYb0xoPJT4z,请问 爆震是啥感觉，我13款2.5的 目前跑了60000公里 不烧机油。 不知道爆震是什么？,动力,0,
260,b8DZYEzBytkSnwlW,噪音可以接收，不觉得大，特意看了机油尺，不少，才5000公里再烧机油就疯了。    ,动力,0,
261,rzvSIWCD5Nfmc4ys,还是哪句话。在意烧机油就别买。不在意买买买不要去博几率。侥幸心理那你保证会遇到,动力,0,
262,RI7PTMxlwmviBzdA,机油消耗也是正常的，跟德国的车一样！不要过分消耗就可以,动力,0,
264,FcJWl6Zgmfakxqbo,怎么看烧不烧机油，噪音一般    ,动力,0,
265,H4GMx5JNmXSrutVR,这个发动机吸引你的在后面，烧机油！,动力,0,
266,zaxDUnt70JpKmQIP,不厉害就先用着，注意转向机油量。渗多了还是换    ,动力,-1,慢
267,ZPYG8pxSQbDgnAoC,火花塞6个小时！机油4个小时！！刹车油几个小时？中国式效率的服务，笑掉大牙,动力,-1,烧机油
