content_id,content,subject,sentiment_value,sentiment_word
vUXizsqexyZVRdFH,因为森林人即将换代，这套系统没必要装在一款即将换代的车型上，因为肯定会影响价格。,价格,0,影响
4QroPd9hNfnCHVt7,四驱价格貌似挺高的，高的可以看齐XC60了，看实车前脸有点违和感。不过大众的车应该不会差。,价格,-1,高
QmqJ2AvM5GplaRyz,斯柯达要说质量，似乎比大众要好一点，价格也低一些，用料完全一样。我听说过野帝，但没听说过你说这车。   ,价格,1,低
KMT1gFJiU4NWrVDn,这玩意都是给有钱任性又不懂车的土豪用的，这价格换一次我妹夫EP020可以换三锅了,价格,-1,有钱任性
nVIlGd5yMmc37t1o,17价格忒高，估计也就是14-15左右。   ,价格,-1,高
TVciHBPL5XmUxMEd,我开始就是荣放2.5  森林人2.5二选一    荣放主要是底盘质感不行   太硬  其次是不能打开的天窗  和公主坟   不过价格确实便宜    少了5W块,价格,1,便宜
4lb9TsO5rjqUy1Bu,唉，这货的价格死硬死硬的，低配版优惠1万据说已经罕有了。    ,价格,-1,死硬
z98xV7MphZIF4EvO,价格的话只能说一般般吧，太仓前段时间定的比你便宜！    ,价格,0,一般
hoWrMnGTUvdsK3Dm,听过，价格太贵，但一直念念不忘    ,价格,-1,贵
r1WHgbI0ZKqMdELy,恭喜恭喜，这个优惠不错哦！,价格,1,优惠不错
JSQUo6kblXYvtc2h,优惠幅度不小了，北京优惠八千,价格,1,优惠幅度不小
7kCF590PjAYqzEL6,优惠可以了！购进吧！买了不会后悔的！时间可鉴！   ,价格,1,不会后悔
EXBiRczhIu3paJWb,现在 什么价 优惠多少,价格,0,优惠
nQ0bIZtzj6P1Esgd,优惠一万一 送贴膜装甲脚垫 铁西庞大,价格,0,优惠
JvXIqLT8cGDuPEWe,我也大连的，最近也考虑入手森林人，优惠太小了,价格,-1,优惠太小
NXyGEbt0AZ5rHJ3e,山东威海全系这才优惠3000，MD,价格,-1,才优惠
kN0LghcimajxWwH8,下手了，豪导特供，优惠1.6万,价格,0,优惠
vVoKucJy5pO0jSk2,优惠了8000，什么都不送。    ,价格,0,优惠
iBFJMqHtTRD5Qo6S,兄弟2.5豪导特供优惠1.6万可以下手吗？    ,价格,0,优惠
G8Yr51elsVaXFUZC,恭喜，优惠多少，我准备明天去提，2.5特装优惠两万,价格,0,优惠
10WF8Q53pVfOryvA,什么车款，多少优惠啊？康桥我只能谈到优惠1.5其他还送什么没问，试驾了一次看了两次2.0时尚     ,价格,0,优惠
VrRd1HcoMNAkvhJy,优惠1 ，就送行程记录     ,价格,0,优惠
1BYpO9FsgkmWLNQu,平常心吧，我本来想买傲虎，优惠不大，钱不够，改提森林人，6月提尊贵优惠1.4w，到了9月做活动森林人全系2w，傲虎全系3w，我......   ,价格,0,优惠
9EFImNb0ywhHBlcR,哈哈，25.48。优惠够给力    ,价格,0,优惠
