content_id,content,subject,sentiment_value,sentiment_word
ArG74M0Vvp3ykfLl,有人追求安全可靠抵达，有人追求比赛刺激，需求不同，我是前者,安全性,0,
QRkdEcyW2mMIx9qC,对了。。如果你要7座的。不如直接GT顶配。。有ACC还是会安全很多。。看测试可以直接刹停车的，对了。。森林人没有7座，这也是加分的。。比如多带2个小朋友之类的,安全性,0,
qtahyRTBAvMFDZpY,防爆胎只是俗称，缺气保用轮胎并不防爆，条件合适一样爆。不过胎侧厚点确实要安全点,安全性,0,
whNpfEbRKjU5M2Fv,没有鹰眼，安全性要打很大的折扣,安全性,-1,
I1lbmFQTYCZxNJ5D,全时四驱不仅体现在雨雪恶劣天气下的路况通过表现，同时也是日常驾驶良好的抓地力等主动安全的保证，底盘表现秒杀同价位其他车系品牌说得一点也不为过。真心希望关注喜欢它的人多多去4s店去试驾一番，它的确名符其实。    ,安全性,0,
KfDzTRF8B9PrIeCO,江浙沪一带与广东一带有很多千万级身价的老板都买斯巴鲁森林人或傲虎玩。他们平时商务用桥车，休闲与户外时都用斯巴鲁，低调、安全又耐用。    ,安全性,1,耐用
kK7A30TWjvUIhGfn,16款的灯都不给力，那估计得上激光大灯了 左低右高处于安全行车考虑的,安全性,0,
l5LkJnA8HUPtOBFi,车子是自己开的，啥车都有小毛病，但安全性最重要，可以自己百度一下“3.15调查 某特断轴致两死”,安全性,0,
GKYWa2qf6IBRzPb3,不过出行还是慢慢开安全第一，现在想起来在过一个隧道的时候，注意力不太集中，前面有个大车在隧道里居然没有尾灯，差点追尾,安全性,0,
lC2v7PtMHm9i6LWr,新手的话建议途观，行车安全辅助多些，不是新手试驾后就有结论了,安全性,0,
imbX25NKYqQn9Cjy,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,安全性,0,
OHvPNBLl5K7CrGq1,停下车的时候，刹车不要重踩，就不会启动启停，轻轻带着刹车就不会启动启停，反之。,安全性,0,
IjoZ6Pn4pOhUGgSK,哥们儿的12款森林人2.5车9.7万公里了，走南闯北，青藏进川臧出，什么毛病都没，上个星期才换的刹车片，除了雨刮，我就在七万公里换了一次轮胎。,安全性,0,
IMcGDXgKUHeQsaZr,看看刹车油是否需要更换,安全性,0,
tP53vTVshQqfnpNG,刹车软只是脚感。感觉刹不住继续踩啊，我就不信你踩到底轮子不抱死？原厂刹车足够用了，别换，费钱,安全性,-1,软
RoqVnADsiyCbXfIO,1、噪音，可以考虑做个全车隔音，效果很不错。2、刹车软，我也觉得，所以我换了好点的刹车皮，效果杠杠的，至于品牌，很多不错的，我选了dixcel。,安全性,-1,软
RIY2DbnfwQWm7Sgd,我就是拉开车距经常被人插队啊，这车油门有点串，刹车有点肉，车多时适合被插     ,安全性,0,
1G5Qf3uR7r690wWO,为了舒适性，森林人刹车都是前段软，再往下踩就有劲了    ,安全性,0,
XcGkDUKrPmWy762t,紧急刹车最好是点刹，就是用力踩下去，抬起来，再踩下去，再抬起来。,安全性,0,
yUMsnpofZeSxdTAB,主要是森林人的轮胎抓地力不强。我后来听别的群友，改了钢喉、换刹车油，效果很好；后来轮胎（同规格，但是抓地力好些）也换了，现在刹车效果很满意。,安全性,-1,不强
IYkL5tgioNwxv0P9,森的刹车的确差劲，大家可以原地试试，踩住刹车一直往下踩，刹车踏板就会慢慢下去的！根本没有余量！狠狠的连续多踩几脚用力踩下去，踏板还是会慢慢下去。我试过16款，15特装款都是这个样子！并且我特意试过一次120下一脚急刹车ABS没有起动。这个刹车我也是醉了,安全性,-1,差劲
3B08G27OHjTqlkng,软。加了刹车顶都觉得有点软。,安全性,-1,软
