content_id,content,subject,sentiment_value,sentiment_word
gb2Maul36FGmpyHB,这么巧又关注森林人了？不考虑价格可上XT，但性价比真的不高！还是力狮划算！当然空间视野森林人要好些，通过力更是强于力狮。看眼缘吧。帮我采纳下！换车标用，再次感谢！,空间,1,好些
sWiCeDwlN5p2Y1G3,刨除质量不说，我觉得买唐要先考虑几个问题 1 有没有固定车位 2 物管准不准你按充电桩 3 开出去面子问题 这3个你都想好没问题不重要不要紧，那么我推荐你必须入手唐，因为实在是太爽了 4.9S.。。。还有空间配置都完全满足家用了。,空间,1,满足
Prmb1ZgsUtyw3QEi,车载音响升级实在没有必要，车内空间小及产生的驻波，震动，行车噪音，未必能有好声，原车CD也不错了。,空间,-1,小
muBW6leN3XcJoTaO,我们这森林人落地30 汉兰达四驱豪华33 我在考虑是坚持户外远行 还是向家用空间舒适妥协    ,空间,0,
DfR2ZLPjO4hKyegJ,别以为国产合资的suv就便宜，国内紧凑性suv的总体价格就偏高，大众的新途观L，顶配加长后居然要卖35万的价格，抢钱抢疯掉了。森林人这款车在紧凑型suv这个级别还是有自己优势的方面，空间、通过性、经济性、配置还都不错，只不过价格贵了3-4万，不差钱的也认了，毕竟是进口车，各种税费摆在那里，像便宜也不可能。,空间,1,都不错
LsGyDvz6AqU2pwgx,2.5豪华，森得空间比q5都大，操控也挺棒    ,空间,1,大
KeQTs3dVHp6yUfxr,不建议二手买美系车 凯迪拉克、林肯在美国的保值率都不高， 就是因为二手故障率高 我劝你选rx270 你真要想要6缸买歌诗图，空间大后备箱大，尤其是横向空间大。本田的发动机故障率也很低。底盘也高，这是个很实用的车。但是外形不太招人喜欢，无论在美国还是在中国销量都很差,空间,1,大
ZTo8W0mwjk14cQhs,不在乎后排空间就选马5,空间,0,
dHFPmVoXlOnjpgT6,这个就看你怎么平衡了，CX-5国内组装，森林人原装进口，CX-5空间是硬伤，四驱不如森林人。    ,空间,-1,硬伤
mLeJ81faHhXl4Z5o,嗯，动力强，费用低，海量改件，油耗能接受，空间过得去，没合适的更换，准备开到报废了,空间,0,
1C4GM65eSjluY2RU,我也想买个150呢，但是马上有孩子了，后备箱可能不能放婴儿车吧？   ,空间,0,
uj6Nbtmlv3Ui1sXI,应该不是，我刚才看了一下，应该是后备箱板子之间产生的摩擦声，备胎周围的泡沫也有摩擦声。    ,空间,0,
T6zGEF3WawQMR72e,应该是后备箱锁扣响！拿个胶带缠一下就好了！,空间,0,
4yspQTtwZVvUnx3q,家用代步2.0足够了，我的2.0新车300多公里的时候就跑过高速了，5成年人，后备箱塞满后视镜看不到车后面，还是冬天，高速一样跑，但如果你需求的是速度，那就2.5或者XT吧，2.0不适合激烈驾驶，上山什么的都没问题！,空间,0,
TwMUEeJhyiv1LXg4,后备箱反应是有点慢，但打还是打的开,空间,0,
SEgAFC5OoGJdklbQ,我对比过 豪华是不错 但是那油耗和后排空间 真不喜欢，，，， 确实好车。。。。成都都知道 文家场 森林人隔壁就沃尔沃    ,空间,-1,真不喜欢
TuEkX2zw3hafMeKC,亦庄最tm坑了…还不如五方桥！咱俩选车路线差不多…我身高195 xc60和Q5 调整完后排几乎是废的！xt5那车空间不错    ,空间,-1,小
SqQLFj0dm8gBtNyG,欧蓝德和森林人比，差一大截，森林人水平对置发动机，全时四驱，大空间，还有很多，搜搜视频看看。,空间,0,
oidBOejfGRY5KPxb,森林人宽敞些，因为高度比傲虎高，但舒适度不如傲虎,空间,1,宽敞
CErOLkUy7zZ5DWjh,我的森林人开了7万公里，在深圳。油耗8个油，平时使用成本ok，空间及操控也不错。买了很满意,空间,1,
G5JgxzK1rqLROswT,几代森林人里，论外观12款的最好，现款空间变大、风阻改善，但不好看。,空间,1,大
VstDBXSr6wAQl4cz,小五就是后排挤，其它还好。,空间,-1,后排挤
86ZJUmikhcGRMoLp,马自达杠5也不错开着也很棒，就是空间局促,空间,0,
UdLqbwmDE8sFRZ4k,主要看上森的水平对置发动机和空间，看这价格真比不了杠五。    ,空间,1,
5NJG0U4kFBELjfa8,我今年情人节提车2.5尊贵导航。。适用。。性价比不高，省油。空间大，开着舒服，隔音不差也不好 音响蓝牙播放无损也不错。。。。。。最近正考虑升级音响和机头   ,空间,1,大
sJnFO8dMcKefVurx,xv，新平台，车子小城市里钻来钻去安逸的很，停车也更方便，当然更重视空间或者要2.5只能森林人了,空间,0,
9AymgKzD5lqpcsQ1,xv空间不行，后排中央地台鼓包太高了。,空间,-1,不行
ncXRWiJO0zxNQVdo,这事看年龄，看需求，城市里跑不太在乎空间，（XV空间还好吧）就选XV，车小灵活好停,空间,0,
04xjlrFa97BJvk31,你是选择森林人呢，还是选择xv，这两款车开起来的感觉差不多，因为2.0的发动机，底盘都是差不多的，森林人的空间大一些，xv时尚一些，都是全时四驱，水平对置发动机，油耗xv要稍微的低一点，你可以看看关于xv的试驾的视频，有很多，可以更直接的了解，“xv是为满足那些喜欢驾驶的人设计的，他的精髓是开”。所以说你要追求驾驶的感觉和乐趣，就选择斯巴鲁，一般的开开选途观。   ,空间,0,
WDhcBPNdoQS713x8,在我国 外观大气内饰豪华后排能跷二郎腿才是好车,空间,0,
zepWj9IQkObtm86c,空间倒无所谓大多数都是我一个人，我对空间没什么要求。没有全景天窗很可惜，xv有种不上不下的感觉。外观我觉得很一般。屁股很不喜欢，可能是因为短……    ,空间,0,
7PXlnbqiyrKx1C58,上个礼拜天，刚和朋友提的途观L330豪华版。裸车24.5。不错，空间挺大。不过，我还是喜欢森林人，稳，开着爽。和朋友开车驾驶习惯不同,空间,0,
TijB1LuP0znpb4N8,和我一样，一看xv的后备箱直接pass，改森林人了。    ,空间,0,
yvGVrnN3bF9tji0K,要追求面子的话，狠狠心上Q5，毕竟国人对Q5的认知度更高一些，现在的老款Q5价格更加亲民了。如果追求家庭使用，特别的是由宝宝的家庭，CRV比较合适，空间逆天，尤其是后备箱，放置儿童小推车毫无压力。如果想偶尔远行一下，深林人是个不错的选择。以上三辆车价格crv便宜，森林人和Q5价格相差不多。,空间,0,
QNaZleBw5H42Op0X,那个后面空间小，而且不好看，屁股太短   ,空间,-1,小
bOcxUzdVkeWJDE9I,质量可靠性都不差，森林人的隐患就是烧机油。但是森林人比楼兰低半个级别，空间，内饰，舒适静音各方面都不如楼兰，性价比实在不咋地。唯一的优势是操控和四驱能力，对你来说，上下班代步，森林人的优势你根本用不上   ,空间,0,
tHKxYq1RMEayCV4n,试驾了森林人，也看了新款XV，还是大家的观点，对空间比较敏感就选森林人，对配置（尤其是eyesight）感冒的就选XV了，真不用纠结的,空间,0,
CaUR7I9Y6Wch5ZvV,新xv的后备箱空间太小了，给直接pass。   ,空间,-1,小
8TlxoA9RU2hXMQs6,对空间有需求森林人，没有需求xv,空间,0,
3TulC6ErvOS4FGKe,傲虎的舒适性是最好的，选择的是力狮的地盘，牺牲了一点离地间隙。XV适合女性一点（个人观点），森比XV空间大，没有XV精致，比傲虎越野好一点，没有傲虎舒适,空间,0,
KogfcpkZ1YvXsRLM,K5轮毂，屌丝气质，但目前这车内饰空间是我坐进去最放松的，没有之一，就是2T太贵了太贵了太贵了,空间,1,坐进去最放松的
x6LtJFzHY0i3os4N,我森林人就是上下班用，真好开。 楼兰太笨拙了吧，不过要是家庭用，肯定比森林人宽敞，舒适,空间,0,
uUrxzb1iqhXoOFHP,轴距短 行程短有很大关系   底盘悬架过滤上不彻底！,空间,0,
VJ0qUPfp3mybKs9X,同是五座，但空间更大也算小换大了，我更懒，提车也没写作业 。,空间,1,大
eUiGynwWqQ9DPsZE,自由光空间比森林人小很多，我坐后排抬不起头，森林人却可以。    ,空间,0,
bWUC85yQxgJdzloA,冠道适合家用空间确实大，要喜欢自驾游还是森林人,空间,0,
LME8GaKbyj57JY2c,相同价位下，不推荐森林人2.0，欧蓝德，探界者，奇骏都不错，2，0的森林人动力还是弱了，跑长途不是太爽，长途动力很重要。欧蓝德胜在便宜实惠，探界者胜在空间大，动力足，奇骏舒适性油耗不错。,空间,0,
ptV3O9Je7IbYCGvM,怎么不提空间？CX5的后车门像QQ的车门一样，人钻的进去？,空间,-1,钻进去
IsdMHpBZ0SYPygi1,我当初也是这两辆车在选，先定了傲虎，然后第二天改成了森其实傲虎比森油门响应快，门和高速过弯没感觉又多大差别，应该差不多，傲虎隔音内饰要比森好点～eyesight很有用，建议有条件一定要上！但是森的视野太爽了，老婆开过念念不忘，家里第二台车，也不是太在意空间，所以第二天就改成森了……,空间,0,不在意
vfhMisDUWg95VR7c,您说的对，预算没问题的，主要就是对斯巴鲁特别喜欢，本来家人让选GLC的，但对这车的空间和过于豪华的内饰不感冒，我也考虑下XT，感谢！   ,空间,0,不感冒
sVZraqLxHubQeI5p,我在买森林人之前也是考虑了Q5  觉得外观好看，质量也是杠杠的 而且也是知名品牌，最后还是感觉空间小，维修保养也不划算，虽然森林人维修也贵，但驾驶感觉是没得比啊,空间,-1,小
IbheRGV6HuNCLStT,这俩车取向完全不一样。买森林人的基本不怎么会买奇骏的吧，反之亦然。我觉得奇骏作为家用车真的挺不错的，空间大，舒服，动力不差，四驱在城市SUV中算好的，真的是很适宜的一部车。   ,空间,1,大
jfOndsE8QPZXul7V,奇骏空间大舒适性好配置高，还有一定的脱困能力，确实适合家用，性价比高。,空间,1,大 
mqFTdsbjxhoBC0VX,森林人比XV除了空间大以外还有那些区别？还有你说的小毛病指的是什么啊？在考虑这两个哪个好！    ,空间,1,大
olAXBYyT4rUjE73Q,你这么问我也只能推荐你cx5顶配了…………不过空间就别奢望了～长途最多一家三口～一家五口有难度～ 其实我现在是不推荐你买自吸的～因为日系车的涡轮已经崛起～    ,空间,-1,别奢望
RIguswkCWdmKE1XP,力狮，空间太小，坐起来不舒服   ,空间,-1,小
vlzV7UONtIEQF5oi,油门窜的解决方案就是开一万公里自己洗一次节气门。你就不会感觉到窜了。suv入弯别那么快，不安全。最后看你喜欢什么。我因为出去玩儿，跑越野所以选择了森林人。车还是很不错的。另外GLC300也是不错的车。除了空间小点儿。   ,空间,-1,小
kYTvn2iCdBmr4uXy,网上看下汉兰达爬坡门，就知道该选哪个车。汉兰达比较均衡，除了空间大基本没啥特点。森林人个性特点明显。,空间,1,大
NxqA1PTglILbJRBH,买车的时候汉兰达四豪是第一选择，空间大，操控性中等，比较均衡，但加价提车让人太太太反感。森是偶尔路过看到，空间不小，操控性好，视野通透，2.5动力也足够。如果对加价不敏感建议等汉兰达，如果想自己开着舒服可以考虑森。或者去看看科迪亚克（没试驾过，不发表意见）,空间,1,大
vtCOMR3nmBiSTYoJ,我的7.5万了，还没有换，要是自己换说实话很费劲，这个两边空间太小了，如果是直列四缸其实是个人都能够换，但是这个没有把握最好别自己换！,空间,-1,小
JBtYxcFrkHyZiSDI,进口的不知道，途观L的配置和空间倒是相当出色，只是接近角和离去角弱于森林人    ,空间,1,出色
Tb3uH2Mck1DWRKsU,谢谢。还有就是汉兰达的空间，虽然内饰面包车，但是空间真的是    ,空间,-1,真的是
c9C4rWOj8ifSmUA3,配4AT的森林人可以算是越野车，升级换代后配了CVT的森林人就只能算是SUV。这话真精辟   我只想说花20大几万买台cvt的suv。真心叫厂家不太厚道了。以前森林人这个价位没有太多竞争对手。现在不如考虑那些八速自动的车型。反正都是suv，加速快，四驱有，省油，空间比森林人大的多。森林人以后不改款真心没销量。醒醒吧斯巴鲁。该好好玩性能车不好好玩。非要玩cvt    ,空间,1,大
IFRGBJiaKeykplWz,后排空间是个杀手锏。看看选择吧,空间,1,杀手锏
yFL4awOh7QMosZ2i,楼主帖子好像在指南者也发过。 我回复了一下我的看法。后排空间两车本差别没这么大，但指南者后排座椅特别宽，因此后排空间指南者显得更小。对越野有个硬指标攀爬比，两者攀爬比无法比较，还有接近角离去角指南者大， 其余森林人完胜。森林人的攀爬能力也不错，有测试资料说极限是35度，我试驾过33度土坡，不用冲坡就上顶了。,空间,0,差别没那么大
