content_id,content,subject,sentiment_value,sentiment_word
KOD82cJZ6CvI0e4R,长城配置好！性价比高！,配置,1,好
KOD82cJZ6CvI0e4R,长城配置好！性价比高！,价格,1,高
St0ly3u25ohRkBLe,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,油耗,1,省油
St0ly3u25ohRkBLe,一直92，偶尔出去了不了解当地油品加95(97)。5万公里从没遇到问题，省油，动力也充足，加95也没感觉有啥不同。,动力,1,充足
imbX25NKYqQn9Cjy,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,安全性,0,
imbX25NKYqQn9Cjy,我只能这样说用了7个月，感觉森的操控还是非常棒的比我以前的卡罗拉要好很多，缺点就是很多配置内饰比较挫，刹车嘎吱嘎吱的，很多东西要自己慢慢习惯就是。看你银子多少，银子多就上傲虎吧，银子少就上森。傲虎体面点内饰。   ,内饰,-1,挫
RIY2DbnfwQWm7Sgd,我就是拉开车距经常被人插队啊，这车油门有点串，刹车有点肉，车多时适合被插     ,安全性,0,
RIY2DbnfwQWm7Sgd,我就是拉开车距经常被人插队啊，这车油门有点串，刹车有点肉，车多时适合被插     ,动力,0,
JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,动力,-1,坑
JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,配置,-1,坑
JQKMPr5qIuV4Ltbi,要是我的话，就不止两个了，隔音，音响，中控屏，烧机油，最后一个，4S坑！    ,舒适性,-1,坑
z4gGv2liFMsQ3qYA,我个人对声音不太敏感，所以没觉得高速噪音大到无法忍受的程度，至于烧机油，我新车不太清楚，希望不烧吧    ,舒适性,0,
z4gGv2liFMsQ3qYA,我个人对声音不太敏感，所以没觉得高速噪音大到无法忍受的程度，至于烧机油，我新车不太清楚，希望不烧吧    ,动力,0,
mSPlZvADzQVos9BO,高速噪音大吗，烧机油吗？,动力,0,
mSPlZvADzQVos9BO,高速噪音大吗，烧机油吗？,舒适性,0,
d2oHyCir5SajAIT0,我车2.5的，刚换完中缸。平时用车是非常满意的，动力足，加速快，安静省油。真的好用。   ,动力,1,足
d2oHyCir5SajAIT0,我车2.5的，刚换完中缸。平时用车是非常满意的，动力足，加速快，安静省油。真的好用。   ,油耗,1,省油
